PUMA,block_group_id,region
11802,5335801011,1
11802,5335801012,1
11802,5335801021,1
11802,5335801022,1
11802,5335801023,1
11802,5335802001,1
11802,5335802002,1
11802,5335803001,1
11802,5335803002,1
11802,5335804001,1
11802,5335804002,1
11802,5335804003,1
11802,5335805001,1
11802,5335805002,1
11802,5335806001,1
11802,5335806002,1
11802,5335806003,1
11802,5335806004,1
11802,5335806005,1
11802,5335807001,1
11802,5335807002,1
11802,5335807003,1
11802,5335808001,1
11802,5335808002,1
11802,5335809001,1
11802,5335809002,1
11802,5335809003,1
11802,5335809004,1
11802,5335810001,1
11802,5335810002,1
11802,5335810003,1
11802,5335811001,1
11802,5335811002,1
11802,5335812001,1
11802,5335812002,1
11802,5335814001,1
11801,5335901011,1
11801,5335901012,1
11801,5335901013,1
11801,5335901021,1
11801,5335901022,1
11801,5335901023,1
11801,5335902011,1
11801,5335902012,1
11801,5335902013,1
11801,5335902021,1
11801,5335902022,1
11801,5335902023,1
11801,5335903001,1
11801,5335903002,1
11801,5335903003,1
11801,5335903004,1
11801,5335904001,1
11801,5335904002,1
11801,5335905011,1
11801,5335905012,1
11801,5335905013,1
11801,5335905021,1
11801,5335905022,1
11801,5335905023,1
11801,5335907001,1
11801,5335907002,1
11801,5335907003,1
11801,5335908001,1
11801,5335908002,1
11801,5335908003,1
11801,5335909001,1
11801,5335909002,1
11801,5335909003,1
11801,5335909004,1
11801,5335910001,1
11801,5335910002,1
11801,5335910003,1
11801,5335910004,1
11801,5335911001,1
11801,5335911002,1
11801,5335911003,1
11801,5335912011,1
11801,5335912012,1
11801,5335912031,1
11801,5335912032,1
11801,5335912033,1
11801,5335912034,1
11801,5335912041,1
11801,5335912042,1
11801,5335913011,1
11801,5335913012,1
11801,5335913013,1
11801,5335913021,1
11801,5335913022,1
11801,5335913023,1
11801,5335913024,1
11801,5335913025,1
11801,5335914001,1
11801,5335914002,1
11801,5335915001,1
11801,5335915002,1
11801,5335915003,1
11801,5335916001,1
11801,5335916002,1
11801,5335916003,1
11801,5335916004,1
11801,5335917001,1
11801,5335917002,1
11801,5335917003,1
11801,5335917004,1
11802,5335918001,1
11802,5335918002,1
11802,5335919001,1
11802,5335919002,1
11802,5335919003,1
11802,5335920001,1
11802,5335920002,1
11802,5335920003,1
11802,5335921001,1
11802,5335921002,1
11802,5335921003,1
11802,5335922001,1
11802,5335922002,1
11802,5335922003,1
11802,5335922004,1
11802,5335923001,1
11802,5335923002,1
11802,5335923003,1
11802,5335924001,1
11802,5335924002,1
11802,5335924003,1
11802,5335924004,1
11802,5335925001,1
11802,5335925002,1
11802,5335925003,1
11802,5335925004,1
11802,5335926001,1
11802,5335926002,1
11802,5335926003,1
11802,5335926004,1
11802,5335926005,1
11802,5335927011,1
11802,5335927012,1
11802,5335927013,1
11802,5335927041,1
11802,5335927042,1
11802,5335928011,1
11802,5335928012,1
11802,5335928013,1
11802,5335928021,1
11802,5335928022,1
11802,5335928023,1
11802,5335928031,1
11802,5335928032,1
11802,5335929011,1
11802,5335929012,1
11802,5335929013,1
11802,5335929014,1
11802,5335929021,1
11802,5335929022,1
11802,5335929023,1
11801,53359400001,1
11801,53359400002,1
11801,53359401001,1
11801,53359401002,1
11801,53359401003,1
11801,53359401004,1
11801,53359901000,1
11602,53331001,1
11602,53331002,1
11602,53331003,1
11602,53331004,1
11602,53331005,1
11602,53332001,1
11602,53332002,1
11602,53332003,1
11602,53332004,1
11602,53332005,1
11602,53332006,1
11601,53333001,1
11601,53333002,1
11601,53334011,1
11601,53334012,1
11601,53334013,1
11601,53334021,1
11601,53334022,1
11601,53334023,1
11601,53334024,1
11601,53335001,1
11601,53335002,1
11601,53335003,1
11601,53336001,1
11601,53336002,1
11601,53336003,1
11601,53336004,1
11601,53336005,1
11601,53336006,1
11602,53337001,1
11602,53337002,1
11602,53337003,1
11602,53337004,1
11602,53338001,1
11602,53338002,1
11602,53339001,1
11602,53339002,1
11602,533310001,1
11602,533310002,1
11602,533311001,1
11602,533311002,1
11602,533312001,1
11602,533312002,1
11602,533312003,1
11602,533312004,1
11602,533312005,1
11601,533313001,1
11601,533313002,1
11601,533313003,1
11601,533314001,1
11601,533314002,1
11601,533314003,1
11601,533314004,1
11601,533315001,1
11601,533315002,1
11601,533316001,1
11601,533316002,1
11601,533316003,1
11601,533317011,1
11601,533317012,1
11601,533317013,1
11601,533317021,1
11601,533317022,1
11601,533317023,1
11601,533317024,1
11601,533318001,1
11601,533318002,1
11601,533318003,1
11602,533319001,1
11602,533319002,1
11602,533319003,1
11602,533320001,1
11602,533320002,1
11602,533320003,1
11602,533321001,1
11602,533321002,1
11602,533321003,1
11602,533322001,1
11602,533322002,1
11602,533322003,1
11602,533322004,1
11602,533324001,1
11602,533324002,1
11602,533324003,1
11602,533325001,1
11602,533325002,1
11602,533326001,1
11602,533326002,1
11602,533326003,1
11602,533326004,1
11601,533327001,1
11601,533327002,1
11601,533327003,1
11601,533327004,1
11601,533328001,1
11601,533328002,1
11601,533328003,1
11601,533328004,1
11601,533329001,1
11601,533329002,1
11601,533329003,1
11601,533330001,1
11601,533330002,1
11601,533330003,1
11601,533330004,1
11601,533331001,1
11601,533331002,1
11601,533331003,1
11601,533331004,1
11601,533331005,1
11601,533332001,1
11601,533332002,1
11601,533332003,1
11601,533332004,1
11601,533332005,1
11601,533332006,1
11601,533332007,1
11601,533333001,1
11601,533333002,1
11601,533333003,1
11601,533333004,1
11601,533333005,1
11601,533334001,1
11601,533334002,1
11601,533334003,1
11601,533335001,1
11601,533335002,1
11601,533335003,1
11601,533336001,1
11601,533336002,1
11601,533336003,1
11601,533336004,1
11602,533338001,1
11602,533338002,1
11602,533339001,1
11602,533339002,1
11602,533340001,1
11602,533340002,1
11602,533341001,1
11602,533341002,1
11602,533341003,1
11602,533341004,1
11602,533341005,1
11602,533341006,1
11602,533342001,1
11602,533342002,1
11602,533342003,1
11602,533342004,1
11602,533342005,1
11602,533343011,1
11602,533343012,1
11602,533343013,1
11602,533343021,1
11602,533343022,1
11602,533344001,1
11602,533344002,1
11602,533344003,1
11602,533344004,1
11602,533345001,1
11602,533345002,1
11601,533346001,1
11601,533346002,1
11601,533346003,1
11601,533347001,1
11601,533347002,1
11601,533347003,1
11601,533347004,1
11601,533348001,1
11601,533348002,1
11601,533348003,1
11601,533348004,1
11601,533349001,1
11601,533349002,1
11601,533349003,1
11601,533349004,1
11601,533349005,1
11601,533350001,1
11601,533350002,1
11601,533350003,1
11601,533351001,1
11601,533351002,1
11601,533351003,1
11602,533352001,1
11602,533352002,1
11602,533352003,1
11602,533352004,1
11602,533352005,1
11602,533353011,1
11602,533353012,1
11602,533353013,1
11602,533353014,1
11602,533353021,1
11602,533353022,1
11602,533353023,1
11601,533354001,1
11601,533354002,1
11601,533354003,1
11601,533354004,1
11603,533356001,1
11603,533356002,1
11603,533356003,1
11603,533356004,1
11603,533356005,1
11603,533357001,1
11603,533357002,1
11603,533357003,1
11603,533357004,1
11603,533357005,1
11603,533357006,1
11603,533358011,1
11603,533358012,1
11603,533358013,1
11603,533358014,1
11603,533358021,1
11603,533358022,1
11603,533358023,1
11603,533359001,1
11603,533359002,1
11603,533359003,1
11603,533359004,1
11603,533359005,1
11603,533360001,1
11603,533360002,1
11603,533360003,1
11603,533360004,1
11603,533361001,1
11603,533361002,1
11603,533361003,1
11603,533361004,1
11604,533362001,1
11604,533362002,1
11604,533362003,1
11604,533363001,1
11604,533363002,1
11604,533363003,1
11604,533363004,1
11604,533364001,1
11604,533364002,1
11604,533364003,1
11604,533365001,1
11604,533365002,1
11604,533365003,1
11603,533366001,1
11603,533366002,1
11603,533367001,1
11603,533367002,1
11603,533367003,1
11603,533367004,1
11603,533368001,1
11603,533368002,1
11603,533369001,1
11603,533369002,1
11603,533369003,1
11603,533369004,1
11603,533370001,1
11603,533370002,1
11603,533370003,1
11603,533370004,1
11603,533370005,1
11603,533370006,1
11603,533371001,1
11603,533371002,1
11603,533372001,1
11603,533372002,1
11603,533372003,1
11603,533373001,1
11603,533373002,1
11603,533373003,1
11603,533374011,1
11603,533374012,1
11603,533374013,1
11603,533374014,1
11603,533374021,1
11603,533374022,1
11603,533374023,1
11604,533375001,1
11604,533375002,1
11604,533375003,1
11604,533375004,1
11604,533375005,1
11604,533376001,1
11604,533376002,1
11604,533376003,1
11604,533377001,1
11604,533377002,1
11604,533377003,1
11604,533377004,1
11604,533378001,1
11604,533378002,1
11604,533378003,1
11604,533378004,1
11604,533379001,1
11604,533379002,1
11604,533379003,1
11604,533379004,1
11604,533379005,1
11603,533380011,1
11603,533380012,1
11603,533380013,1
11603,533380014,1
11603,533380015,1
11603,533380021,1
11603,533380022,1
11603,533381001,1
11603,533381002,1
11603,533381003,1
11603,533382001,1
11603,533382002,1
11603,533382003,1
11603,533383001,1
11603,533383002,1
11603,533384001,1
11603,533384002,1
11603,533384003,1
11603,533385001,1
11603,533385002,1
11603,533385003,1
11604,533386001,1
11604,533386002,1
11604,533386003,1
11604,533387001,1
11604,533387002,1
11604,533387003,1
11604,533388001,1
11604,533388002,1
11604,533388003,1
11604,533389001,1
11604,533389002,1
11604,533389003,1
11604,533389004,1
11604,533390001,1
11604,533390002,1
11603,533391001,1
11603,533391002,1
11603,533392001,1
11603,533392002,1
11605,533393001,1
11605,533393002,1
11605,533393003,1
11605,533394001,1
11605,533394002,1
11605,533394003,1
11605,533394004,1
11605,533394005,1
11604,533395001,1
11604,533395002,1
11604,533395003,1
11604,533395004,1
11605,533396001,1
11605,533396002,1
11605,533396003,1
11605,533396004,1
11605,533396005,1
11605,533397011,1
11605,533397012,1
11605,533397013,1
11605,533397014,1
11605,533397021,1
11605,533397022,1
11605,533397023,1
11605,533397024,1
11605,533397025,1
11605,533398001,1
11605,533398002,1
11605,533398003,1
11605,533398004,1
11605,533398005,1
11605,533399001,1
11605,533399002,1
11605,533399003,1
11605,533399004,1
11605,5333100011,1
11605,5333100012,1
11605,5333100013,1
11605,5333100021,1
11605,5333100022,1
11605,5333100023,1
11605,5333100024,1
11604,5333101001,1
11604,5333101002,1
11604,5333101003,1
11604,5333101004,1
11604,5333101005,1
